date,month,machine,ams_mode,item,description,category,category_source,style_confidence,is_production_run,operators,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr,data_flag
2026-01-02,2026-01,AMS,handpack,10006A,WWB AMZN Organic Lemon Balm (6 Oz) ,Bag/Other,inferred,,yes,3.0,1202,8.383,25.15,143.4,2.39,47.8,
2026-01-02,2026-01,Assembly,,45001,Mushroom Adaptogen TB Sampler Box - 6 Count Case - G,Sampler,inferred,,yes,5.0,159,8.0,40.0,19.9,0.331,4.0,
2026-01-02,2026-01,WeighRight,,60060,ORG Hazelnut 5 Lb Bag - GA,Bag/Other,inferred,,yes,3.0,120,1.217,3.65,98.6,1.644,32.9,
2026-01-02,2026-01,WeighRight,,80060A,AMZN Org Hazelnut 11OZ Bag/Box of 24 - GA,Bag/Other,inferred,,yes,3.0,744,1.5,4.5,496.0,8.267,165.3,
2026-01-02,2026-01,WeighRight,,80060A,AMZN Org Hazelnut 11OZ Bag/Box of 24 - GA,Bag/Other,inferred,,yes,3.0,780,1.7,5.1,458.8,7.647,152.9,
2026-01-02,2026-01,WeighRight,,80060L,Org Hazelnut 11OZ Bag/Box of 24 - GA,Bag/Other,inferred,,yes,3.0,1632,2.833,8.5,576.0,9.6,192.0,
2026-01-02,2026-01,WeighRight,,85070L,ORG Miraculous Mushrooms 10oz Bag/Box of 24,Bag/Other,inferred,,yes,3.0,120,0.333,1.0,360.0,6.0,120.0,
2026-01-02,2026-01,WeighRight,,CleanGA,Clean + Gluten + Allergen Tests,Bag/Other,inferred,,,3.0,0,0.75,2.25,,,,
2026-01-05,2026-01,AMS,handpack,10006A,WWB AMZN Organic Lemon Balm (6 Oz) ,Bag/Other,inferred,,yes,3.0,450,1.667,5.0,270.0,4.5,90.0,
2026-01-05,2026-01,AMS,handpack,10006A,WWB AMZN Organic Lemon Balm (6 Oz) ,Bag/Other,inferred,,yes,3.0,600,4.167,12.5,144.0,2.4,48.0,
2026-01-05,2026-01,AMS,handpack,10061A,AMZN - WWB - ORG Date Sugar - 1 Lb,Bag/Other,inferred,,yes,3.0,540,5.683,17.05,95.0,1.584,31.7,
2026-01-05,2026-01,AMS,handpack,30005L,ORG GF Dandelion Blend 312g Bag,Instant,governed,high,yes,3.0,108,1.4,4.2,77.1,1.286,25.7,
2026-01-05,2026-01,Assembly,,40001L,Herbal Tea Sampler Box - Loose,Sampler,governed,high,yes,2.0,180,2.333,4.667,77.1,1.286,38.6,
2026-01-05,2026-01,Assembly,,43001,Dandelion Tea Sampler Box - 6 Count Case,Sampler,inferred,,yes,2.0,120,0.95,1.9,126.3,2.105,63.2,
2026-01-05,2026-01,Assembly,,45001,Mushroom Adaptogen TB Sampler Box - 6 Count Case - G,Sampler,inferred,,yes,6.0,161,7.367,44.2,21.9,0.364,3.6,
2026-01-05,2026-01,Assembly,,45050F,Turkey Tail Astragalus Dual Language 10 cnt TB - G,Tea,inferred,,yes,2.0,40,2.367,4.733,16.9,0.282,8.5,
2026-01-05,2026-01,Assembly,,86010L,ORG Dark Chocolate 10 Oz Bag/Box of 24,Bag/Other,inferred,,yes,2.0,480,1.2,2.4,400.0,6.667,200.0,
2026-01-05,2026-01,Maisa 1,,43321,Dandelion Red Chai 25 Count Tea Bag,Tea,governed,high,yes,3.0,1200,10.55,31.65,113.7,1.896,37.9,
2026-01-05,2026-01,Maisa 1,,TB332,ORG Dandelion Red Chai Tea Bag,Tea bag (intermediate),item-code,,yes,3.0,3500,1.217,3.65,2876.7,47.945,958.9,
2026-01-05,2026-01,Maisa 2+3,,43220,ORG Dandelion Caramel Nut 10ct/6pk Tea Bag - A,Tea,inferred,,yes,5.0,8232,11.95,59.75,688.9,11.481,137.8,
2026-01-05,2026-01,WeighRight,,60120,DO NOT MAKE ORG Maya Chai 5 Lb Bag - G,Bag/Other,inferred,,yes,3.0,32,0.417,1.25,76.8,1.28,25.6,
2026-01-05,2026-01,WeighRight,,65020,ORG Chaga Ashwagandha 5 Lb Bag,Bag/Other,inferred,,yes,3.0,80,1.05,3.15,76.2,1.27,25.4,
2026-01-05,2026-01,WeighRight,,80110A,AMZN Org French Roast 11OZ Bag/Box of 24 - G,Bag/Other,inferred,,yes,3.0,1440,2.3,6.9,626.1,10.435,208.7,
2026-01-05,2026-01,WeighRight,,80113,ORG French Roast 11OZ Bag 3PK - G,Bag/Other,inferred,,yes,3.0,320,2.067,6.2,154.8,2.581,51.6,
2026-01-05,2026-01,WeighRight,,85020L,ORG Chaga Ashwagandha 10 Oz Bag/Box of 24,Bag/Other,inferred,,yes,3.0,1224,2.667,8.0,459.0,7.65,153.0,
