category,month,runs,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_operator_hr
APG,2026-01,11,6938,15.9,47.9,435.0,145.0
APG,2026-02,8,3574,10.1,30.2,355.6,118.5
APG,2026-03,11,10793,21.7,62.8,497.0,172.0
APG,2026-04,13,5909,14.2,42.0,416.6,140.5
APG,2026-05,5,2114,6.4,19.1,332.0,110.7
APG,2026-06,6,3245,9.7,29.0,335.1,111.7
APG,2026-07,11,4515,13.9,40.6,324.0,111.1
APG,2026-08,5,1544,4.8,14.4,320.6,106.9
Bag/Other,2026-01,119,63463,317.9,872.5,199.6,72.7
Bag/Other,2026-02,127,62417,320.2,955.5,194.9,65.3
Bag/Other,2026-03,104,63116,281.0,818.3,224.6,77.1
Bag/Other,2026-04,113,64706,273.5,791.1,236.6,81.8
Bag/Other,2026-05,84,41781,191.9,539.0,217.7,77.5
Bag/Other,2026-06,55,24772,117.5,377.3,210.8,65.7
Bag/Other,2026-07,91,39827,208.4,578.6,191.1,68.8
Bag/Other,2026-08,45,22202,106.7,306.5,208.0,72.4
Bundle,2026-01,4,644,13.7,13.7,47.2,47.2
Bundle,2026-02,10,1656,26.4,27.6,62.8,60.1
Bundle,2026-03,2,96,4.6,4.6,20.8,20.8
Bundle,2026-04,3,322,8.6,8.6,37.6,37.6
Bundle,2026-05,6,1543,20.8,20.8,74.4,74.4
Bundle,2026-06,1,20,1.2,1.2,17.1,17.1
Bundle,2026-07,3,288,6.7,6.7,43.3,43.3
Bundle,2026-08,1,6,0.6,0.6,10.0,10.0
Instant,2026-01,37,10527,118.8,264.1,88.6,39.9
Instant,2026-02,17,3625,30.9,96.2,117.3,37.7
Instant,2026-03,27,8263,65.2,251.4,126.7,32.9
Instant,2026-04,8,3230,15.0,60.2,214.6,53.7
Instant,2026-05,2,583,4.6,18.4,126.7,31.7
Instant,2026-06,16,3701,43.2,172.9,85.6,21.4
Instant,2026-07,5,2416,12.0,43.5,201.1,55.5
Instant,2026-08,9,2677,12.3,45.1,217.6,59.3
Sampler,2026-01,19,6894,118.4,277.6,58.2,24.8
Sampler,2026-02,30,5357,202.0,277.3,26.5,19.3
Sampler,2026-03,26,2842,116.5,257.0,24.4,11.1
Sampler,2026-04,23,5020,100.5,157.8,49.9,31.8
Sampler,2026-05,6,2372,47.4,190.2,50.0,12.5
Sampler,2026-06,23,1954,111.0,116.0,17.6,16.8
Sampler,2026-07,18,5465,91.2,123.9,59.9,44.1
Sampler,2026-08,7,1518,46.9,55.4,32.3,27.4
Tea,2026-01,93,89911,376.2,1320.7,239.0,68.1
Tea,2026-02,126,111737,426.8,1369.6,261.8,81.6
Tea,2026-03,112,164172,367.3,1250.2,446.9,131.3
Tea,2026-04,105,76949,335.1,1003.8,229.6,76.7
Tea,2026-05,56,34836,197.7,458.7,176.2,76.0
Tea,2026-06,50,30407,198.0,564.3,153.5,53.9
Tea,2026-07,52,37874,199.2,589.7,190.2,64.2
Tea,2026-08,25,27170,95.4,352.5,284.8,77.1
Tea bag (intermediate),2026-01,32,432112,107.7,264.4,4012.2,1634.1
Tea bag (intermediate),2026-02,16,178739,50.0,163.7,3571.2,1092.1
Tea bag (intermediate),2026-03,29,359736,82.6,228.9,4354.3,1571.4
Tea bag (intermediate),2026-04,24,270451,61.6,200.0,4394.0,1352.4
Tea bag (intermediate),2026-05,4,61765,10.9,32.6,5649.2,1892.7
Tea bag (intermediate),2026-06,1,12000,1.8,7.0,6857.1,1714.3
Tea bag (intermediate),2026-07,4,24200,6.1,17.8,3989.0,1360.8
Tea bag (intermediate),2026-08,4,46500,12.4,29.8,3745.0,1558.7
