week_start,week_end,complete,total_inventory_units,basis,estimated
2024-12-30,2025-01-05,True,130029,FBA ledger (reconstructed),TRUE
2025-01-06,2025-01-12,True,131755,FBA ledger (reconstructed),TRUE
2025-01-13,2025-01-19,True,138998,FBA ledger (reconstructed),TRUE
2025-01-20,2025-01-26,True,147488,FBA ledger (reconstructed),TRUE
2025-01-27,2025-02-02,True,159634,FBA ledger (reconstructed),TRUE
2025-02-03,2025-02-09,True,157431,FBA ledger (reconstructed),TRUE
2025-02-10,2025-02-16,True,158832,FBA ledger (reconstructed),TRUE
2025-02-17,2025-02-23,True,153594,FBA ledger (reconstructed),TRUE
2025-02-24,2025-03-02,True,148895,FBA ledger (reconstructed),TRUE
2025-03-03,2025-03-09,True,153839,FBA ledger (reconstructed),TRUE
2025-03-10,2025-03-16,True,154191,FBA ledger (reconstructed),TRUE
2025-03-17,2025-03-23,True,157491,FBA ledger (reconstructed),TRUE
2025-03-24,2025-03-30,True,174292,FBA ledger (reconstructed),TRUE
2025-03-31,2025-04-06,True,178337,FBA ledger (reconstructed),TRUE
2025-04-07,2025-04-13,True,169993,FBA ledger (reconstructed),TRUE
2025-04-14,2025-04-20,True,169951,FBA ledger (reconstructed),TRUE
2025-04-21,2025-04-27,True,169844,FBA ledger (reconstructed),TRUE
2025-04-28,2025-05-04,True,171549,FBA ledger (reconstructed),TRUE
2025-05-05,2025-05-11,True,170259,FBA ledger (reconstructed),TRUE
2025-05-12,2025-05-18,True,164848,FBA ledger (reconstructed),TRUE
2025-05-19,2025-05-25,True,165844,FBA ledger (reconstructed),TRUE
2025-05-26,2025-06-01,True,163565,FBA ledger (reconstructed),TRUE
2025-06-02,2025-06-08,True,161268,FBA ledger (reconstructed),TRUE
2025-06-09,2025-06-15,True,158621,FBA ledger (reconstructed),TRUE
2025-06-16,2025-06-22,True,152930,FBA ledger (reconstructed),TRUE
2025-06-23,2025-06-29,True,145142,FBA ledger (reconstructed),TRUE
2025-06-30,2025-07-06,True,140968,FBA ledger (reconstructed),TRUE
2025-07-07,2025-07-13,True,130222,FBA ledger (reconstructed),TRUE
2025-07-14,2025-07-20,True,121988,FBA ledger (reconstructed),TRUE
2025-07-21,2025-07-27,True,117764,FBA ledger (reconstructed),TRUE
2025-07-28,2025-08-03,True,113836,FBA ledger (reconstructed),TRUE
2025-08-04,2025-08-10,True,114358,FBA ledger (reconstructed),TRUE
2025-08-11,2025-08-17,True,110233,FBA ledger (reconstructed),TRUE
2025-08-18,2025-08-24,True,105036,FBA ledger (reconstructed),TRUE
2025-08-25,2025-08-31,True,105107,FBA ledger (reconstructed),TRUE
2025-09-01,2025-09-07,True,103871,FBA ledger (reconstructed),TRUE
2025-09-08,2025-09-14,True,96364,FBA ledger (reconstructed),TRUE
2025-09-15,2025-09-21,True,88197,FBA ledger (reconstructed),TRUE
2025-09-22,2025-09-28,True,87434,FBA ledger (reconstructed),TRUE
2025-09-29,2025-10-05,True,96010,FBA ledger (reconstructed),TRUE
2025-10-06,2025-10-12,True,96388,FBA ledger (reconstructed),TRUE
2025-10-13,2025-10-19,True,71851,FBA ledger (reconstructed),TRUE
2025-10-20,2025-10-26,True,110143,FBA ledger (reconstructed),TRUE
2025-10-27,2025-11-02,True,103076,FBA ledger (reconstructed),TRUE
2025-11-03,2025-11-09,True,103154,FBA ledger (reconstructed),TRUE
2025-11-10,2025-11-16,True,109824,FBA ledger (reconstructed),TRUE
