item,description,category,category_source,pre_runs,pre_units,pre_units_per_machine_hr,pre_units_per_operator_hr,post_runs,post_units,post_units_per_machine_hr,post_units_per_operator_hr,machine_hr_throughput_change_pct,operator_hr_throughput_change_pct
10013,"ORG Hibisicus, 8 Oz Bag",Bag/Other,inferred,18,6350,78.6,32.3,11,9846,293.2,74.4,273.1,130.5
10006A,WWB AMZN Organic Lemon Balm (6 Oz) ,Bag/Other,inferred,41,21456,79.9,30.1,5,5490,171.7,42.9,115.0,42.5
10022,ORG Raw Dandelion1 Lb Bag,Bag/Other,inferred,6,3131,97.8,46.6,2,3228,243.0,66.5,148.5,42.8
10005A,WWB AMZN Organic Chia (1lb),Bag/Other,inferred,21,10135,90.9,39.2,2,2679,234.7,71.1,158.1,81.7
10044,AMZN- WWB-ORG Hibiscus - 1 Lb Bag,Bag/Other,inferred,4,900,46.3,25.1,6,2507,161.4,41.3,248.8,64.6
30013L,ORG Miraculous Mushrooms Cacao 135g Bag,Bag/Other,inferred,8,3625,117.3,35.9,3,2098,312.4,78.1,166.4,117.6
30008L,ORG Instant French Roast 100g Bag - G,Instant,governed,7,4350,122.4,30.7,4,2038,290.5,82.0,137.3,167.2
10101,WWB - ORG Medium Roasted Carob Flour - 1 Lb Bag,Bag/Other,inferred,9,6064,92.5,28.7,3,2016,158.7,47.3,71.7,64.9
10008,"Org Rooibos, 8 Oz Bag",Bag/Other,inferred,15,3855,64.4,37.1,3,1908,236.5,59.1,267.1,59.3
10042,ORG Burdock 1 Lb Bag,Bag/Other,inferred,4,1211,81.8,28.4,2,1716,245.7,81.9,200.3,188.8
10201,WWB - ORG Peppermint Leaf - 4 Oz Bag,Bag/Other,inferred,12,8301,121.4,41.4,2,1668,204.7,51.2,68.6,23.5
30012L,ORG GF Dandelion Blend 100g Bag,Bag/Other,inferred,7,3083,178.0,63.2,2,1535,257.3,64.3,44.5,1.7
10019,ORG Astragalus 8 Oz Bag,Bag/Other,inferred,3,736,71.2,33.0,1,1440,326.0,81.5,357.8,147.3
30007L,ORG Instant Miraculous Mushrooms AP 100g Bag,Instant,governed,10,4391,167.7,64.8,4,1373,226.9,56.7,35.3,-12.4
10302A,WWB Organic Cinnamon Powder 1lb - AMZN Label,Bag/Other,inferred,15,3352,38.2,19.8,3,1212,258.8,64.7,578.1,227.1
30010L,ORG Instant Hazelnut 100g Bag - G,Instant,governed,4,2180,154.4,57.3,3,1043,308.3,77.1,99.6,34.6
30009L,ORG Instant Vanilla Nut 100g Bag - G,Instant,governed,4,2186,133.6,44.5,2,906,275.9,69.0,106.6,54.9
30003,Instant Chicory - 8 Oz Bag,Instant,inferred,11,4627,50.3,22.8,1,840,156.0,39.0,210.1,71.0
30004,Instant Barley - 6 Oz Bag - G,Instant,inferred,8,2424,54.4,24.2,3,734,157.8,39.5,190.0,63.0
10027,Organic Licorice C/S - 8 Oz Bag,Bag/Other,inferred,2,324,12.2,6.6,2,720,229.8,57.4,1778.3,772.3
30011L,ORG Instant Mocha 100g Bag - G,Instant,inferred,7,3864,216.3,60.2,1,667,388.5,97.1,79.7,61.4
10009A,AMZN ORG Chia 2 X 1 Lb Bag,Bag/Other,inferred,5,420,21.4,12.6,2,578,97.1,28.6,354.9,126.7
10402A,AMZN- WWB-ORG Rama Tulsi - 8 OZ Bag,Bag/Other,inferred,27,7907,53.4,24.5,2,504,93.9,23.5,75.9,-4.3
10045,AMZN- WWB-ORG Rooibos - 1 Lb Bag,Bag/Other,inferred,7,1483,40.1,23.0,1,450,206.1,51.5,413.8,124.1
31010L,ORG Instant Hazelnut Latte 224g Bag,Instant,governed,7,1779,151.2,49.5,1,447,225.4,56.3,49.1,13.9
10102,WWB - ORG Medium Roasted Carob 1 Lb x 2,Bag/Other,inferred,7,1156,41.4,24.5,2,432,66.6,22.2,60.9,-9.2
30005L,ORG GF Dandelion Blend 312g Bag,Instant,governed,7,2487,86.7,26.0,1,432,139.4,34.8,60.7,34.2
31007,ORG Instant Miraculous Mushrooms AP Latte 6Ct Case ,Instant,inferred,5,304,21.8,9.4,4,429,49.5,12.4,127.1,31.3
31014,ORG Instant Miraculous Mushroom Matcha Latte 6Ct Case,Instant,inferred,3,207,14.1,6.4,2,429,48.3,12.1,243.3,87.6
30007,Instant Miraculous Mushrooms A&P 100g Bag / 6 Count Case,Instant,inferred,8,574,26.0,8.9,3,416,56.3,14.1,116.4,58.1
30013,Instant Miraculous Mushrooms C+5 135g Bag / 6 Count Case,Instant,inferred,6,273,19.8,7.7,2,416,49.5,12.4,150.3,60.4
31011L,ORG Instant Mocha Latte 224g Bag,Instant,inferred,4,1776,144.0,57.4,1,372,202.9,50.7,40.9,-11.7
10104,WWB - ORG Dark Roasted Carob Flour - 1 Lb Bag,Bag/Other,inferred,8,2283,40.3,19.5,1,357,129.8,32.5,222.3,66.5
10012,"ORG Lemon Grass, 7 Oz Bag",Bag/Other,inferred,32,14956,71.7,34.7,1,300,169.8,56.6,137.0,63.1
10081A,AMZN - WWB - ORG Roasted Ramon Granules - 1 Lb,Bag/Other,inferred,2,984,68.9,34.4,1,237,209.1,69.7,203.5,102.4
30010,Instant Hazelnut 100g Bag / 6 Count Case - G,Instant,inferred,4,104,20.9,7.9,1,125,46.3,11.6,121.8,46.5
10033,Powdered Fine Date Sugar - 1 Lb Bag,Bag/Other,inferred,2,480,99.3,99.3,1,120,180.0,45.0,81.3,-54.7
30012,Instant Dandelion Blend 100g Bag / 6 Count Case,Instant,inferred,7,416,15.4,6.1,2,80,39.0,11.6,153.3,89.8
