item,description,primary_machine,runs,scorable_runs,units_made,scorable_units,machine_hrs,direct_labor_hrs,direct_labor_usd,expected_hrs,actual_hrs_scorable,efficiency_pct,standard_looks_suspect,overrun_hrs,overrun_usd,actual_units_per_operator_hr,standard_units_per_operator_hr,actual_units_per_machine_hr
45001,Mushroom Adaptogen TB Sampler Box - 6 Count Case - G,Assembly,18,17,1454,1454,113.3,336.6,8772.84,49.9,327.1,15.3,yes,277.2,7222.78,4.45,29.12,12.84
40001,Herbal Tea Sampler Box - 6 Count Case,Assembly,24,24,1466,1466,147.7,250.6,6531.68,50.3,250.6,20.1,yes,200.3,5219.75,5.85,29.12,9.93
43110,ORG Dandelion Dark Roast 10ct/6pk Tea Bag,Maisa 2+3,12,12,5485,5485,68.8,343.9,8962.03,226.0,343.9,65.7,,117.9,3071.51,15.95,24.27,79.75
10031,Roasted Chicory Root - 1 Lb Bag,WeighRight,21,21,34911,34911,68.5,216.5,5642.25,119.7,216.5,55.3,,96.8,2521.7,161.24,291.55,509.43
10006A,WWB AMZN Organic Lemon Balm (6 Oz) ,AMS,11,10,10276,8806,54.8,205.3,5350.38,90.7,175.1,51.8,,84.4,2199.68,50.29,97.09,187.66
10101,WWB - ORG Medium Roasted Carob Flour - 1 Lb Bag,AMS,6,6,4176,4176,38.4,126.0,3284.6,43.0,126.0,34.1,yes,83.0,2163.69,33.13,97.09,108.64
10402A,AMZN- WWB-ORG Rama Tulsi - 8 OZ Bag,AMS,10,10,4296,4296,37.8,117.4,3058.66,44.2,117.4,37.7,yes,73.1,1905.54,36.6,97.09,113.56
30003,Instant Chicory - 8 Oz Bag,AMS,6,6,3967,3967,43.7,103.9,2708.68,40.9,103.9,39.3,yes,63.1,1643.86,38.17,97.09,90.72
60010,ORG Vanilla Nut 5 Lb Bag - GA,WeighRight,8,8,328,328,24.6,73.6,1917.76,11.3,73.6,15.3,yes,62.3,1624.23,4.46,29.12,13.34
10005A,WWB AMZN Organic Chia (1lb),AMS,8,8,6292,6292,33.6,126.0,3283.3,64.8,126.0,51.4,,61.2,1594.41,49.94,97.09,187.26
10045,AMZN- WWB-ORG Rooibos - 1 Lb Bag,AMS,2,2,1050,1050,17.5,69.8,1820.03,10.8,69.8,15.5,,59.0,1538.19,15.03,97.09,60.14
43001,Dandelion Tea Sampler Box - 6 Count Case,Assembly,9,9,540,540,46.8,72.8,1897.69,18.5,72.8,25.5,yes,54.3,1414.44,7.42,29.12,11.54
10051,ORG Roasted Chicory Root - 1 Lb Bag,WeighRight,10,10,10580,10580,27.2,89.0,2319.6,36.3,89.0,40.8,,52.7,1373.9,118.86,291.55,389.4
10039A,AMZN Roasted French Chicory 2 X 1 Lb Bag,WeighRight,13,13,5664,5664,26.0,90.9,2370.16,38.9,90.9,42.8,,52.0,1356.12,62.28,145.56,217.6
10012,"ORG Lemon Grass, 7 Oz Bag",AMS,6,6,5520,5520,32.8,108.1,2816.3,56.9,108.1,52.6,,51.2,1334.64,51.08,97.09,168.09
10201,WWB - ORG Peppermint Leaf - 4 Oz Bag,AMS,9,9,6045,6045,41.2,113.5,2957.03,62.3,113.5,54.9,,51.2,1334.44,53.27,97.09,146.65
10104,WWB - ORG Dark Roasted Carob Flour - 1 Lb Bag,AMS,2,2,764,764,19.5,58.5,1525.29,7.9,58.5,13.4,,50.7,1320.22,13.05,97.09,39.16
10302A,WWB Organic Cinnamon Powder 1lb - AMZN Label,AMS,7,7,1901,1901,27.2,69.8,1819.25,19.6,69.8,28.0,yes,50.2,1308.99,27.23,97.09,69.99
10013,"ORG Hibisicus, 8 Oz Bag",AMS,18,18,14780,14780,54.4,200.3,5219.04,152.2,200.3,76.0,,48.0,1251.82,73.8,97.09,271.44
10044,AMZN- WWB-ORG Hibiscus - 1 Lb Bag,AMS,9,9,3233,3233,21.5,78.1,2035.03,33.3,78.1,42.6,,44.8,1167.23,41.4,97.09,150.51
TB503,ORG Lion's Mane Rhodiola Loose Tea Bag - G,Maisa 2+3,5,5,39550,39550,18.0,71.9,1874.24,27.3,71.9,37.9,yes,44.6,1163.07,549.92,1449.28,2199.67
30013L,ORG Miraculous Mushrooms Cacao 135g Bag,AMS,7,7,3208,3208,22.4,76.4,1990.98,33.0,76.4,43.2,,43.4,1129.9,41.99,97.09,143.09
10401A,AMZN-WWB-ORG Krishna Tulsi- 8OZ Bag,AMS,5,5,2520,2520,25.7,67.8,1768.17,26.0,67.8,38.3,yes,41.9,1091.76,37.14,97.09,97.98
10061A,AMZN - WWB - ORG Date Sugar - 1 Lb,AMS,5,5,2671,2671,19.9,68.1,1775.47,27.5,68.1,40.4,,40.6,1058.52,39.2,97.09,133.95
80110,ORG French Roast 11OZ Bag/6 Count Case - G,WeighRight,13,12,2987,2987,57.5,172.4,4493.0,123.1,163.1,75.5,,40.0,1041.25,18.32,24.27,51.97
30005L,ORG GF Dandelion Blend 312g Bag,AMS,4,4,1587,1587,15.2,55.0,1434.6,16.3,55.0,29.7,yes,38.7,1008.62,28.83,97.09,104.41
10202,ORG Peppermint 1 Lb Bag,AMS,6,6,1062,1062,18.5,48.0,1249.84,10.9,48.0,22.8,yes,37.0,964.78,22.14,97.09,57.44
80089A,AMZN ORG Raspberry Mocha 11OZ Bag/Box of 24 - GA,WeighRight,2,2,1200,1200,13.7,41.2,1073.41,8.2,41.2,20.0,,32.9,858.57,29.13,145.56,87.4
42011,ORG Pumpkin Spice 25CT Tea Bag - GA,Assembly,8,8,1224,1224,53.4,53.4,1390.56,21.0,53.4,39.4,yes,32.3,842.88,22.94,58.24,22.94
80030,ORG Almond Amaretto 11OZ Bag/6 Count Case - GA,WeighRight,4,4,252,252,15.3,42.5,1108.59,10.4,42.5,24.4,yes,32.2,837.96,5.92,24.27,16.49
80070,ORG Java 11OZ Bag/6 Count Case - GA,WeighRight,5,5,451,451,16.4,49.3,1285.28,18.6,49.3,37.7,yes,30.7,800.94,9.14,24.27,27.43
10001A,Sage 2 Oz Bags AMZN,AMS,6,6,1870,1870,24.4,49.0,1276.42,19.3,49.0,39.3,yes,29.7,774.48,38.18,97.09,76.58
80073,ORG Java 11OZ Bag 3PK - GA,WeighRight,4,4,880,880,15.9,47.7,1243.06,18.1,47.7,38.0,yes,29.6,770.65,18.45,48.54,55.35
30012,Instant Dandelion Blend 100g Bag / 6 Count Case,AMS,3,3,267,267,19.7,46.3,1205.54,17.0,46.3,36.7,yes,29.3,762.59,5.77,15.71,13.55
10017,ORG Lemon Balm (+8) 1LB Bag - 7-9523910017,AMS,2,2,1008,1008,9.1,33.2,865.71,10.4,33.2,31.3,,22.8,595.15,30.34,97.09,111.01
45020,ORG Chaga Ashwagandha 10 Ct Tea Bag/6 Count Case,Maisa 2+3,15,15,6891,6891,71.7,305.9,7971.49,284.0,305.9,92.8,,21.9,571.02,22.53,24.27,96.12
