item,description,primary_machine,runs,scorable_runs,units_made,scorable_units,machine_hrs,direct_labor_hrs,direct_labor_usd,expected_hrs,actual_hrs_scorable,efficiency_pct,standard_looks_suspect,overrun_hrs,overrun_usd,actual_units_per_operator_hr,standard_units_per_operator_hr,actual_units_per_machine_hr
45001,Mushroom Adaptogen TB Sampler Box - 6 Count Case - G,Assembly,55,52,4322,4253,286.9,727.8,18965.69,146.0,715.6,20.4,yes,569.6,14843.05,5.94,29.12,15.06
40001,Herbal Tea Sampler Box - 6 Count Case,Assembly,51,50,4527,4435,312.5,547.0,14253.78,152.3,547.0,27.8,yes,394.7,10284.89,8.11,29.12,14.49
43110,ORG Dandelion Dark Roast 10ct/6pk Tea Bag,Maisa 2+3,53,53,20895,20895,299.3,1120.7,29204.92,861.1,1120.7,76.8,,259.6,6765.1,18.64,24.27,69.8
12251,Holiday Tea Bag Sampler Box - 6 Count Case,Assembly,16,16,1820,1820,64.8,269.4,7021.87,62.5,269.4,23.2,yes,207.0,5393.15,6.75,29.12,28.1
10031,Roasted Chicory Root - 1 Lb Bag,WeighRight,33,32,66503,66503,138.1,425.1,11078.89,228.1,412.0,55.4,,183.9,4792.82,161.41,291.55,481.66
43001,Dandelion Tea Sampler Box - 6 Count Case,Assembly,24,24,1534,1534,104.8,203.0,5288.88,52.7,203.0,26.0,yes,150.3,3916.1,7.56,29.12,14.63
10051,ORG Roasted Chicory Root - 1 Lb Bag,WeighRight,24,24,27211,27211,66.9,208.1,5422.56,93.3,208.1,44.9,,114.7,2990.29,130.77,291.55,406.98
45020,ORG Chaga Ashwagandha 10 Ct Tea Bag/6 Count Case,Maisa 2+3,49,49,19566,19566,236.2,905.8,23604.89,806.3,905.8,89.0,,99.5,2592.32,21.6,24.27,82.83
12250,Advent Calendar,Assembly,14,10,566,566,81.6,166.8,4347.85,19.4,114.6,17.0,yes,95.2,2481.0,4.94,29.12,6.93
43110F,Dandelion Dark Roast Dual Language 10ct/6pk Tea Bag,Maisa 2+3,15,15,3177,3177,79.9,218.4,5690.46,130.9,218.4,60.0,,87.4,2278.58,14.55,24.27,39.77
10006A,WWB AMZN Organic Lemon Balm (6 Oz) ,AMS,11,10,10276,8806,54.8,205.3,5350.38,90.7,175.1,51.8,,84.4,2199.68,50.29,97.09,187.66
10101,WWB - ORG Medium Roasted Carob Flour - 1 Lb Bag,AMS,6,6,4176,4176,38.4,126.0,3284.6,43.0,126.0,34.1,yes,83.0,2163.69,33.13,97.09,108.64
10039A,AMZN Roasted French Chicory 2 X 1 Lb Bag,WeighRight,20,20,9648,9648,44.3,145.6,3795.38,66.3,145.6,45.5,,79.4,2068.08,66.25,145.56,217.98
10005A,WWB AMZN Organic Chia (1lb),AMS,10,10,7696,7696,42.9,154.0,4011.94,79.3,154.0,51.5,,74.7,1946.19,49.99,97.09,179.31
10402A,AMZN- WWB-ORG Rama Tulsi - 8 OZ Bag,AMS,10,10,4296,4296,37.8,117.4,3058.66,44.2,117.4,37.7,yes,73.1,1905.54,36.6,97.09,113.56
10104,WWB - ORG Dark Roasted Carob Flour - 1 Lb Bag,AMS,4,4,1364,1364,27.0,80.9,2109.3,14.0,80.9,17.4,yes,66.9,1743.17,16.85,97.09,50.56
45031,ORG Lion's Mane Rhodiola 25 Ct Tea Bag - G,Maisa 1,21,17,5928,5208,89.4,177.0,4611.84,89.4,154.8,57.8,,65.4,1704.03,33.64,58.24,66.3
80089A,AMZN ORG Raspberry Mocha 11OZ Bag/Box of 24 - GA,WeighRight,9,9,4464,4464,31.8,95.3,2483.0,30.7,95.3,32.2,yes,64.6,1683.8,46.85,145.56,140.55
30003,Instant Chicory - 8 Oz Bag,AMS,6,6,3967,3967,43.7,103.9,2708.68,40.9,103.9,39.3,yes,63.1,1643.86,38.17,97.09,90.72
10008,"Org Rooibos, 8 Oz Bag",WeighRight,12,11,6291,6291,39.5,127.4,3321.09,64.8,127.4,50.8,,62.6,1632.47,49.36,97.09,159.39
43311,Dandelion Mocha Mint 25 Count Tea Bag - A,Maisa 1,23,22,8113,8113,85.0,204.5,5328.75,139.3,200.9,69.3,,61.6,1605.55,40.38,58.24,95.41
43081,ORG Dandelion Mocha 25CT Tea Bag - A,Maisa 2+3,11,11,4535,4535,45.9,137.8,3589.76,77.9,137.8,56.5,,59.9,1560.58,32.92,58.24,98.8
10045,AMZN- WWB-ORG Rooibos - 1 Lb Bag,AMS,3,3,1410,1410,18.7,73.4,1913.85,14.5,73.4,19.8,yes,58.9,1535.38,19.2,97.09,75.56
