item,description,primary_machine,scorable_units_2026,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,FY2026_eff_pct
TB060,ORG Hazelnut Tea Bag Loose - GA,Maisa 1,124264,125.5,,131.4,119.2,,,,126.1
TB130,ORG Maca Chocolate Tea Bag - G,Maisa 2+3,99340,135.3,121.3,,100.9,260.4,,,136.2
TB010,ORG Vanilla Nut Tea Bag Loose - GA,Maisa 2+3,98840,122.8,102.2,159.1,146.3,,,,131.1
TB110,ORG French Roast Tea Bag Loose - G,Maisa 2+3,88800,64.1,153.3,63.2,,,,95.8,74.8
NTB0010,Vanilla Nut Tagless 6g Tea Bag - GA,Maisa 1,85200,157.9,100.2,,,,,,126.2
NTB3220,Dandelion Caramel Nut Tagless 6g Tea Bag - A,Maisa 2+3,73200,199.0,,140.7,,,,,160.8
TB311,ORG Dandelion Dark Roast Tea Bag,Maisa 2+3,64500,159.5,,60.5,46.4,,,,70.5
TB502,ORG Chaga Ashwagandha Loose Tea Bag,Maisa 2+3,57080,69.4,,137.5,,,,,109.2
TB334,ORG Dandelion Coconut Tea Bag - A,Maisa 1,56850,74.1,,122.0,132.8,,,,106.1
TB322,ORG Dandelion Caramel Nut Tea Bag - A,Maisa 1,55096,119.9,,200.6,112.1,,,,124.7
43111,ORG Dandelion Dark Roast 25CT Tea Bag,Maisa 2+3,49328,106.2,,2309.4,102.0,,64.3,,666.7
ntb0110,French Roast Tagless 6g Tea Bag - G,Maisa 2+3,44400,178.3,,,,,,,178.3
TB331,ORG Dandelion Mocha Mint Tea Bag - A,Maisa 1,44000,119.0,281.6,119.0,,,142.8,,140.0
TB505,ORG Turkey Tail Astragalus Loose Tea Bag - G,Maisa 1,42000,,90.3,,86.6,,,,88.7
NTB0080,Mocha Tagless 6g Tea Bag - GA,Maisa 2+3,41796,,185.0,191.7,,,,,189.7
TB503,ORG Lion's Mane Rhodiola Loose Tea Bag - G,Maisa 2+3,39550,125.5,25.1,,92.5,,,,37.9
10031,Roasted Chicory Root - 1 Lb Bag,WeighRight,34911,63.7,72.0,106.1,,52.6,41.3,40.5,55.3
TB333,ORG Dandelion Turmeric Tea Bag,Maisa 2+3,32700,,,134.3,109.9,,,,128.1
NTB3110,Dandelion Dark Roast Tagless 6g Tea Bag,Maisa 2+3,32604,174.9,,,,,,,174.9
TB332,ORG Dandelion Red Chai Tea Bag,Maisa 1,32153,62.0,,,62.3,,,,62.1
TB601,ORG Dark Chocolate Loose Tea Bag,Maisa 2+3,31547,131.0,439.1,,169.1,,,,173.6
NTB0060,Hazelnut Tagless 6g Tea Bag - GA,Maisa 1,31200,196.1,,,,,,,196.1
TB501,ORG Reishi Eleuthero Loose Tea Bag - G,Maisa 2+3,29880,,120.3,,78.8,,,,91.5
TB506,ORG Tremella Tulsi Loose Tea Bag,Maisa 2+3,29765,,,,,98.2,,,98.2
TB504,ORG Cordyceps Schisandra Loose Tea Bag,Maisa 2+3,27075,,,131.2,,,,,131.2
TB030,ORG Almond Amaretto Tea Bag - GA,Maisa 2+3,26209,,,83.3,162.6,,,,137.6
10013,"ORG Hibisicus, 8 Oz Bag",AMS,14780,135.8,51.0,49.1,81.7,102.1,67.4,85.6,76.0
TB337,ORG Blueberry Vanilla Tea Bag,Maisa 1,13173,,178.5,105.4,,,,,113.1
80110A,AMZN Org French Roast 11OZ Bag/Box of 24 - G,WeighRight,11904,141.5,118.9,,129.2,95.4,99.9,83.3,116.9
47010,75147 TJ ORG Roasted Herbal Cofee (12 Pack) - G,Maisa 2+3,10665,94.0,105.2,,110.3,,103.3,81.9,99.3
83110L,ORG Dandelion Dark Roast 10 oz Bag/Box of 24,WeighRight,10581,128.1,101.5,126.2,,86.8,101.1,90.6,103.4
10051,ORG Roasted Chicory Root - 1 Lb Bag,WeighRight,10580,50.7,,58.6,,67.1,35.1,4.0,40.8
46011,ORG Dark Chocolate 25 Ct Tea Bag,Maisa 2+3,10542,104.9,115.0,98.9,99.4,79.6,52.6,44.4,91.3
43220,ORG Dandelion Caramel Nut 10ct/6pk Tea Bag - A,Maisa 2+3,9703,100.1,114.8,109.7,,70.6,106.5,,102.1
10006A,WWB AMZN Organic Lemon Balm (6 Oz) ,AMS,8806,56.3,63.7,,48.9,,43.8,34.6,51.8
50110,ORG French Roast 30g Trial Size Packet - G,WeighRight,8405,200.9,,143.4,203.2,,,597.4,192.3
TB080,ORG Mocha Tea Bag - GA,Maisa 1,8000,,,,121.9,,,,121.9
