item,description,primary_machine,scorable_units,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,eff_pct
TB060,ORG Hazelnut Tea Bag Loose - GA,Maisa 1,255492,128.5,,,180.9,115.7,,196.3,,,43.5,86.2,,125.5,,131.4,119.2,,,,121.1
NTB0110,French Roast Tagless 6g Tea Bag - G,Maisa 1,248260,336.7,180.7,,111.2,222.1,,180.2,,102.2,115.2,,357.2,,,,,,,,175.1
TB130,ORG Maca Chocolate Tea Bag - G,Maisa 2+3,229467,189.0,118.6,0.2,185.8,135.5,,64.9,,,,153.0,135.3,135.3,121.3,,100.9,260.4,,,117.2
TB010,ORG Vanilla Nut Tea Bag Loose - GA,Maisa 1,228768,188.7,,97.4,84.3,114.6,,214.3,,,82.9,,,122.8,102.2,159.1,146.3,,,,125.3
NTB3110,Dandelion Dark Roast Tagless 6g Tea Bag,Maisa 2+3,221870,55.8,120.0,,98.7,,151.4,,,81.3,,122.2,112.0,174.9,,,,,,,108.0
NTB3220,Dandelion Caramel Nut Tagless 6g Tea Bag - A,Maisa 2+3,218400,,312.5,,,205.4,,174.8,,109.5,,82.4,,199.0,,140.7,,,,,134.7
TB110,ORG French Roast Tea Bag Loose - G,Maisa 1,203550,299.9,121.1,,90.7,92.7,,301.9,198.6,,,492.9,,64.1,153.3,63.2,,,,95.8,100.4
NTB0010,Vanilla Nut Tagless 6g Tea Bag - GA,Maisa 2+3,202800,75.3,,,,,126.2,,,114.2,,115.8,,157.9,100.2,,,,,,114.9
NTB0060,Hazelnut Tagless 6g Tea Bag - GA,Maisa 2+3,168000,180.0,,184.9,,,117.4,,,136.4,120.8,,184.5,196.1,,,,,,,155.0
TB503,ORG Lion's Mane Rhodiola Loose Tea Bag - G,Maisa 2+3,146131,102.1,,,97.2,81.6,,,,,,134.7,122.2,125.5,25.1,,92.5,,,,70.5
TB502,ORG Chaga Ashwagandha Loose Tea Bag,Maisa 2+3,145228,,,111.1,109.7,146.5,136.8,,,180.0,,94.6,,69.4,,137.5,,,,,113.3
TB505,ORG Turkey Tail Astragalus Loose Tea Bag - G,Maisa 2+3,143165,147.2,160.8,,,106.5,,90.6,,,,,94.7,,90.3,,86.6,,,,105.4
TB322,ORG Dandelion Caramel Nut Tea Bag - A,Maisa 2+3,131266,72.2,89.4,,118.9,,,,,158.2,187.5,,,119.9,,200.6,112.1,,,,112.1
TB311,ORG Dandelion Dark Roast Tea Bag,Maisa 2+3,126965,104.3,,,97.1,,131.8,,,79.5,,,,159.5,,60.5,46.4,,,,83.1
TB334,ORG Dandelion Coconut Tea Bag - A,Maisa 1,126690,,175.9,,68.6,113.8,130.7,41.8,,116.9,,,103.5,74.1,,122.0,132.8,,,,103.9
TB331,ORG Dandelion Mocha Mint Tea Bag - A,Maisa 2+3,122775,102.9,118.4,,143.8,100.4,162.2,127.8,,,127.3,,187.8,119.0,281.6,119.0,,,142.8,,136.1
TB501,ORG Reishi Eleuthero Loose Tea Bag - G,Maisa 2+3,122182,104.9,,,149.1,121.1,,102.9,127.8,77.8,,,227.5,,120.3,,78.8,,,,109.9
TB204,ORG Snickerdoodle Tea Bag - GA,Maisa 2+3,102277,28.3,210.2,,117.9,,144.7,80.9,106.2,,126.0,,,,,,,,,,107.3
TB506,ORG Tremella Tulsi Loose Tea Bag,Maisa 2+3,98736,174.0,103.6,,,107.1,71.3,54.9,65.1,,,,92.7,,,,,98.2,,,90.0
TB504,ORG Cordyceps Schisandra Loose Tea Bag,Maisa 2+3,95493,,188.2,112.2,,164.4,133.5,,,,,,148.1,,,131.2,,,,,141.5
TB332,ORG Dandelion Red Chai Tea Bag,Maisa 1,94792,,166.5,,,,114.8,152.5,,,,,,62.0,,,62.3,,,,95.3
NTB0080,Mocha Tagless 6g Tea Bag - GA,Maisa 2+3,82596,55.2,,,176.8,,,,,,,,,,185.0,191.7,,,,,122.3
TB333,ORG Dandelion Turmeric Tea Bag,Maisa 1,75640,,,,111.9,,143.7,,,,,,124.7,,,134.3,109.9,,,,124.1
TB205,ORG Gingerbread Tea Bag - GA,Maisa 2+3,74820,,,,,,,144.5,108.8,,,,,,,,,,,,126.9
10031,Roasted Chicory Root - 1 Lb Bag,WeighRight,66503,,34.9,,,,,,62.8,,52.4,47.5,48.7,63.7,72.0,106.1,,52.6,41.3,40.5,55.4
TB601,ORG Dark Chocolate Loose Tea Bag,Maisa 2+3,65917,83.5,,,,189.0,107.0,157.5,,,,,,131.0,439.1,,169.1,,,,132.4
43111,ORG Dandelion Dark Roast 25CT Tea Bag,Maisa 2+3,62336,114.0,,,76.5,83.0,,,81.2,43.7,45.7,86.6,86.4,106.2,,2309.4,102.0,,64.3,,259.8
ntb0110,French Roast Tagless 6g Tea Bag - G,Maisa 2+3,44400,,,,,,,,,,,,,178.3,,,,,,,178.3
