month,runs,blend_hrs,lbs_blended,dl_wage_usd,dl_loaded_usd,loaded_usd_per_lb
2025-01,56,78.9,74430,2657.35,8351.56,0.1122
2025-02,31,44.0,45493,1483.6,4662.69,0.1025
2025-03,6,11.2,10200,378.9,1190.81,0.1167
2025-04,53,73.0,65026,2460.32,7732.34,0.1189
2025-05,62,104.4,87056,3517.88,11056.03,0.127
2025-06,22,33.3,22558,1123.23,3530.1,0.1565
2025-07,32,35.6,17547,1199.01,3768.26,0.2148
2025-08,37,46.2,43028,1554.33,4884.98,0.1135
2025-09,43,77.0,53658,2593.36,8150.45,0.1519
2025-10,43,50.5,43845,1700.84,5345.42,0.1219
2025-11,44,55.2,55439,1859.14,5842.92,0.1054
2025-12,44,51.3,47173,1727.78,5430.1,0.1151
2026-01,45,54.8,47004,1845.66,5800.58,0.1234
2026-02,44,60.6,60940,2041.01,6414.51,0.1053
2026-03,43,61.6,53683,2073.0,6515.07,0.1214
2026-04,42,61.5,54541,2071.32,6509.77,0.1194
2026-05,21,29.6,23521,995.24,3127.87,0.133
2026-06,32,47.7,35038,1604.85,5043.75,0.144
2026-07,23,29.6,31988,995.24,3127.87,0.0978
all-time total,723,1006.0,872168,33882.08,106485.1,0.1221
