month,runs,cases_made,units_made,machine_hrs,direct_labor_hrs,direct_labor_usd,labor_usd_per_case,labor_usd_per_unit,efficiency_pct,overrun_hrs,overrun_usd,scorable_runs,scorable_units,scorable_coverage_pct
2025-01,397,25151,481737,1039.4,2778.1,72398.59,2.8786,0.1503,104.4,-103.5,-2696.03,309,478021,99.2
2025-02,295,22519,304637,655.0,1905.6,49659.15,2.2052,0.163,108.9,-146.7,-3822.02,226,304557,100.0
2025-03,194,9990,127452,563.9,1801.8,46955.17,4.7003,0.3684,90.0,173.7,4527.57,155,123961,97.3
2025-04,329,20098,388036,696.3,2003.2,52204.17,2.5975,0.1345,98.4,30.4,792.61,263,387506,99.9
2025-05,339,23188,403175,806.6,2312.7,60268.96,2.5991,0.1495,104.2,-81.6,-2127.33,257,402019,99.7
2025-06,279,13961,320480,716.6,1965.6,51222.49,3.6689,0.1598,103.4,-46.8,-1220.58,195,318596,99.4
2025-07,243,14196,297035,524.0,1675.4,43660.14,3.0755,0.147,102.6,-29.2,-761.14,167,292596,98.5
2025-08,213,9823,163671,524.1,1446.2,37688.49,3.8367,0.2303,96.6,34.7,904.66,153,162792,99.5
2025-09,295,16028,310474,679.1,1827.3,47620.22,2.9711,0.1534,96.5,58.9,1536.07,222,309991,99.8
2025-10,236,12846,164176,552.6,1656.9,43178.03,3.3612,0.263,86.8,169.3,4410.92,178,163847,99.8
2025-11,292,16083,317165,742.8,2221.0,57879.0,3.5989,0.1825,85.0,299.1,7795.27,216,315839,99.6
2025-12,358,20291,345255,756.4,2401.5,62583.09,3.0843,0.1813,94.1,125.6,3273.73,268,344399,99.8
2026-01,385,19349,558039,1075.9,3109.5,81033.83,4.1881,0.1452,83.6,474.8,12373.33,311,551840,98.9
2026-02,403,23583,307430,1013.8,2883.6,75146.62,3.1865,0.2444,87.2,344.1,8967.84,303,303735,98.8
2026-03,409,29890,535644,982.5,3007.0,78361.64,2.6217,0.1463,117.0,-439.3,-11447.83,301,532358,99.4
2026-04,386,17881,383327,795.5,2154.7,56152.78,3.1404,0.1465,97.7,45.3,1179.87,281,380871,99.4
2026-05,211,10863,125069,470.6,1295.7,33765.16,3.1083,0.27,75.0,292.2,7613.93,159,124249,99.3
2026-06,208,9657,59805,521.4,1389.2,36203.59,3.7488,0.6054,75.3,291.1,7584.93,150,59386,99.3
2026-07,174,5732,68362,411.7,1157.8,30172.79,5.264,0.4414,77.6,212.5,5538.14,123,66735,97.6
all-time total,5646,321127,5660969,13528.1,38992.9,1016153.93,3.1643,0.1795,94.9,1704.7,44423.9,4237,5623298,99.3
