date,month,machine,ams_mode,item,description,category,category_source,style_confidence,is_production_run,operators,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr,data_flag
2026-01-02,2026-01,AMS,handpack,10006A,WWB AMZN Organic Lemon Balm (6 Oz) ,Bag/Other,inferred,,yes,3.0,1202,8.23,24.69,146.1,2.434,48.7,
2026-01-02,2026-01,Assembly,,45001,Mushroom Adaptogen TB Sampler Box - 6 Count Case - G,Sampler,inferred,,yes,5.0,159,8.0,40.0,19.9,0.331,4.0,
2026-01-02,2026-01,WeighRight,,60060,ORG Hazelnut 5 Lb Bag - GA,Bag/Other,inferred,,yes,3.0,120,1.13,3.39,106.2,1.77,35.4,
2026-01-02,2026-01,WeighRight,,80060A,AMZN Org Hazelnut 11OZ Bag/Box of 24 - GA,Bag/Other,inferred,,yes,3.0,744,1.3,3.9,572.3,9.538,190.8,
2026-01-02,2026-01,WeighRight,,80060A,AMZN Org Hazelnut 11OZ Bag/Box of 24 - GA,Bag/Other,inferred,,yes,3.0,780,1.42,4.26,549.3,9.155,183.1,
2026-01-02,2026-01,WeighRight,,80060L,Org Hazelnut 11OZ Bag/Box of 24 - GA,Bag/Other,inferred,,yes,3.0,1632,2.5,7.5,652.8,10.88,217.6,
2026-01-02,2026-01,WeighRight,,85070L,ORG Miraculous Mushrooms A&P 10oz Bag/Box of 24,Bag/Other,inferred,,yes,3.0,120,0.2,0.6,600.0,10.0,200.0,
2026-01-02,2026-01,WeighRight,,CleanGA,Clean + Gluten + Almond Tests,Bag/Other,inferred,,,3.0,0,0.45,1.35,,,,
2026-01-05,2026-01,AMS,handpack,10006A,WWB AMZN Organic Lemon Balm (6 Oz) ,Bag/Other,inferred,,yes,3.0,450,1.4,4.2,321.4,5.357,107.1,
2026-01-05,2026-01,AMS,handpack,10006A,WWB AMZN Organic Lemon Balm (6 Oz) ,Bag/Other,inferred,,yes,3.0,600,4.1,12.3,146.3,2.439,48.8,
2026-01-05,2026-01,AMS,handpack,10061A,AMZN - WWB - ORG Date Sugar - 1 Lb,Bag/Other,inferred,,yes,3.0,540,5.41,16.23,99.8,1.664,33.3,
2026-01-05,2026-01,AMS,handpack,30005L,ORG GF Dandelion Blend 312g Bag,Instant,governed,high,yes,3.0,108,1.24,3.72,87.1,1.452,29.0,
2026-01-05,2026-01,Assembly,,40001L,Herbal Tea Sampler Box - Loose,Sampler,governed,high,yes,2.0,180,2.2,4.4,81.8,1.364,40.9,
2026-01-05,2026-01,Assembly,,43001,Dandelion Tea Sampler Box - 6 Count Case,Sampler,inferred,,yes,2.0,120,0.57,1.14,210.5,3.509,105.3,
2026-01-05,2026-01,Assembly,,45001,Mushroom Adaptogen TB Sampler Box - 6 Count Case - G,Sampler,inferred,,yes,6.0,161,7.22,43.32,22.3,0.372,3.7,
2026-01-05,2026-01,Assembly,,45050F,Turkey Tail Astragalus Dual Language 10 cnt TB - G,Tea,inferred,,yes,2.0,40,2.22,4.44,18.0,0.3,9.0,
2026-01-05,2026-01,Assembly,,86010L,ORG Dark Chocolate 10 Oz Bag/Box of 24,Bag/Other,inferred,,yes,2.0,480,1.12,2.24,428.6,7.143,214.3,
2026-01-05,2026-01,Maisa 1,,43321,Dandelion Red Chai 25 Count Tea Bag,Tea,governed,high,yes,3.0,1200,10.33,30.99,116.2,1.936,38.7,
2026-01-05,2026-01,Maisa 1,,TB332,ORG Dandelion Red Chai Tea Bag,Tea,inferred,,yes,3.0,3500,1.13,3.39,3097.3,51.622,1032.4,
2026-01-05,2026-01,Maisa 2+3,,43220,ORG Dandelion Caramel Nut 10ct/6pk Tea Bag - A,Tea,inferred,,yes,5.0,1372,11.57,57.85,118.6,1.976,23.7,
2026-01-05,2026-01,WeighRight,,60120,DO NOT MAKE ORG Maya Chai 5 Lb Bag - G,Bag/Other,inferred,,yes,3.0,32,0.25,0.75,128.0,2.133,42.7,
2026-01-05,2026-01,WeighRight,,65020,ORG Chaga Ashwagandha 5 Lb Bag,Bag/Other,inferred,,yes,3.0,80,1.03,3.09,77.7,1.294,25.9,
2026-01-05,2026-01,WeighRight,,80110A,AMZN Org French Roast 11OZ Bag/Box of 24 - G,Bag/Other,inferred,,yes,3.0,1440,2.18,6.54,660.6,11.009,220.2,
2026-01-05,2026-01,WeighRight,,80113,ORG French Roast 11OZ Bag 3PK - G,Bag/Other,inferred,,yes,3.0,320,2.04,6.12,156.9,2.614,52.3,
2026-01-05,2026-01,WeighRight,,85020L,ORG Chaga Ashwagandha 10 Oz Bag/Box of 24,Bag/Other,inferred,,yes,3.0,1224,2.4,7.2,510.0,8.5,170.0,
2026-01-05,2026-01,WeighRight,,85070L,ORG Miraculous Mushrooms A&P 10oz Bag/Box of 24,Bag/Other,inferred,,yes,3.0,432,0.47,1.41,919.1,15.319,306.4,
2026-01-05,2026-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.28,0.84,,,,
2026-01-05,2026-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.27,0.81,,,,
2026-01-05,2026-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.05,0.15,,,,
2026-01-05,2026-01,WeighRight,,help handpack instants,,Bag/Other,inferred,,,3.0,0,1.38,4.14,,,,
2026-01-06,2026-01,AMS,handpack,10402A,AMZN- WWB-ORG Rama Tulsi - 8 OZ Bag,Bag/Other,inferred,,yes,1.0,272,4.0,4.0,68.0,1.133,68.0,
2026-01-06,2026-01,AMS,handpack,30003,Instant Chicory - 8 Oz Bag,Instant,inferred,,yes,3.0,343,6.02,18.06,57.0,0.95,19.0,
2026-01-06,2026-01,AMS,handpack,30005L,ORG GF Dandelion Blend 312g Bag,Instant,governed,high,yes,3.0,519,4.51,13.53,115.1,1.918,38.4,
2026-01-06,2026-01,AMS,handpack,30013L,ORG Miraculous Mushrooms Cacao 135g Bag,Bag/Other,inferred,,yes,3.0,270,5.24,15.72,51.5,0.859,17.2,
2026-01-06,2026-01,AMS,handpack,31005L,ORG GF Instant Dandelion Latte 224g Bag,Instant,governed,high,yes,3.0,461,2.45,7.35,188.2,3.136,62.7,
2026-01-06,2026-01,AMS,handpack,31007L,ORG Instant Miraculous Mushrooms AP Latte 224g Bag,Instant,governed,high,yes,3.0,450,2.32,6.96,194.0,3.233,64.7,
2026-01-06,2026-01,AMS,handpack,31008L,ORG Instant French Roast Latte 224g Bag,Instant,governed,high,yes,3.0,446,3.12,9.36,142.9,2.382,47.6,
2026-01-06,2026-01,AMS,handpack,31010L,ORG Instant Hazelnut Latte 224g Bag,Instant,governed,high,yes,3.0,168,3.19,9.57,52.7,0.878,17.6,
2026-01-06,2026-01,AMS,handpack,43116,Dandelion DarkRoast Tagless Tea Bag - 50 Ct,Tea,governed,high,yes,3.0,425,4.35,13.05,97.7,1.628,32.6,
2026-01-06,2026-01,Assembly,,40001L,Herbal Tea Sampler Box - Loose,Sampler,governed,high,yes,2.0,936,8.27,16.54,113.2,1.886,56.6,
2026-01-06,2026-01,Assembly,,40132F,ORG Maca Chocolate DL 25CT Tea Bag AMZN (24pk) - G,Tea,inferred,,yes,3.0,240,2.45,7.35,98.0,1.633,32.7,
2026-01-06,2026-01,Maisa 1,,Clean,Standard Clean,Tea,inferred,,,3.0,0,1.05,3.15,,,,
2026-01-06,2026-01,Maisa 1,,TB110,ORG French Roast Tea Bag Loose - G,Tea,inferred,,yes,3.0,11000,3.1,9.3,3548.4,59.14,1182.8,
2026-01-06,2026-01,Maisa 1,,TB332,ORG Dandelion Red Chai Tea Bag,Tea,inferred,,yes,3.0,19628,7.45,22.35,2634.6,43.911,878.2,
2026-01-06,2026-01,Maisa 2+3,,43110,ORG Dandelion Dark Roast 10ct/6pk Tea Bag,Tea,inferred,,yes,5.0,449,4.2,21.0,106.9,1.782,21.4,
2026-01-06,2026-01,Maisa 2+3,,43220,ORG Dandelion Caramel Nut 10ct/6pk Tea Bag - A,Tea,inferred,,yes,5.0,250,2.09,10.45,119.6,1.994,23.9,
2026-01-06,2026-01,Maisa 2+3,,CleanA,Clean + Almond Test,Tea,inferred,,,5.0,0,0.23,1.15,,,,
2026-01-06,2026-01,Maisa 2+3,,NTB3220,Dandelion Caramel Nut Tagless 6g Tea Bag - A,Tea,inferred,,yes,2.0,31200,5.41,10.82,5767.1,96.118,2883.5,
2026-01-06,2026-01,Maisa 2+3,,TB311,ORG Dandelion Dark Roast Tea Bag,Tea,inferred,,yes,2.0,2500,0.42,0.84,5952.4,99.206,2976.2,
2026-01-06,2026-01,Maisa 2+3,,TB322,ORG Dandelion Caramel Nut Tea Bag - A,Tea,inferred,,yes,2.0,18000,5.18,10.36,3474.9,57.915,1737.5,
2026-01-06,2026-01,WeighRight,,20081,ORG Mocha 300G Dual Language Bag - 6Ct Case - GA,Bag/Other,inferred,,yes,3.0,12,1.14,3.42,10.5,0.175,3.5,
2026-01-06,2026-01,WeighRight,,80116A,French Roast 500g APG Bag - G,APG,inferred,,yes,3.0,96,0.2,0.6,480.0,8.0,160.0,
2026-01-06,2026-01,WeighRight,,help handpack instants,,Bag/Other,inferred,,,3.0,0,12.11,36.33,,,,
2026-01-07,2026-01,AMS,handpack,10005A,WWB AMZN Organic Chia (1lb),Bag/Other,inferred,,yes,2.0,288,3.54,7.08,81.4,1.356,40.7,
2026-01-07,2026-01,AMS,handpack,30009L,ORG Instant Vanilla Nut 100g Bag - G,Instant,governed,high,yes,3.0,746,5.46,16.38,136.6,2.277,45.5,
2026-01-07,2026-01,AMS,handpack,30010L,ORG Instant Hazelnut 100g Bag - G,Instant,governed,high,yes,2.0,739,4.17,8.34,177.2,2.954,88.6,
2026-01-07,2026-01,AMS,handpack,30011L,ORG Instant Mocha 100g Bag - G,Instant,inferred,,yes,3.0,740,4.12,12.36,179.6,2.994,59.9,
2026-01-07,2026-01,AMS,handpack,30013L,ORG Miraculous Mushrooms Cacao 135g Bag,Bag/Other,inferred,,yes,3.0,474,8.04,24.12,59.0,0.983,19.7,
2026-01-07,2026-01,AMS,handpack,31010L,ORG Instant Hazelnut Latte 224g Bag,Instant,governed,high,yes,3.0,168,0.43,1.29,390.7,6.512,130.2,
2026-01-07,2026-01,Maisa 1,,40111,ORG French Roast 25CT Tea Bag - G,Tea,governed,high,yes,3.0,984,8.37,25.11,117.6,1.959,39.2,
2026-01-07,2026-01,Maisa 1,,TB110,ORG French Roast Tea Bag Loose - G,Tea,inferred,,yes,3.0,7000,3.2,9.6,2187.5,36.458,729.2,
2026-01-07,2026-01,Maisa 2+3,,43110,ORG Dandelion Dark Roast 10ct/6pk Tea Bag,Tea,inferred,,yes,5.0,471,3.49,17.45,135.0,2.249,27.0,
2026-01-07,2026-01,Maisa 2+3,,43111,ORG Dandelion Dark Roast 25CT Tea Bag,Tea,governed,high,yes,5.0,1200,4.07,20.35,294.8,4.914,59.0,
2026-01-07,2026-01,Maisa 2+3,,43114,ORG Dandelion Dark Roast 10CT Tea Bag 4PK (with DCO/DMM Goody Bag),Tea,inferred,,yes,5.0,96,0.26,1.3,369.2,6.154,73.8,
2026-01-07,2026-01,Maisa 2+3,,NTB3110,Dandelion Dark Roast Tagless 6g Tea Bag,Tea,inferred,,yes,2.0,16800,3.42,6.84,4912.3,81.871,2456.1,
2026-01-07,2026-01,Maisa 2+3,,TB311,ORG Dandelion Dark Roast Tea Bag,Tea,inferred,,yes,2.0,14500,3.42,6.84,4239.8,70.663,2119.9,
2026-01-07,2026-01,WeighRight,,80110L,Org French Roast 11oz Bag/Box of 24 - G,Bag/Other,inferred,,yes,3.0,240,1.23,3.69,195.1,3.252,65.0,
2026-01-07,2026-01,WeighRight,,80116A,French Roast 500g APG Bag - G,APG,inferred,,yes,3.0,552,1.12,3.36,492.9,8.214,164.3,
2026-01-07,2026-01,WeighRight,,help handpack instants,,Bag/Other,inferred,,,3.0,0,11.5,34.5,,,,
2026-01-08,2026-01,AMS,machine(Amy),10005A,WWB AMZN Organic Chia (1lb),Bag/Other,inferred,,yes,5.0,1008,7.04,35.2,143.2,2.386,28.6,
2026-01-08,2026-01,AMS,handpack,10101,WWB - ORG Medium Roasted Carob Flour - 1 Lb Bag,Bag/Other,inferred,,yes,3.0,276,4.19,12.57,65.9,1.098,22.0,
2026-01-08,2026-01,Assembly,,40081,ORG Mocha 25CT Tea Bag - GA,Tea,governed,high,yes,2.0,40,1.52,3.04,26.3,0.439,13.2,
2026-01-08,2026-01,Assembly,,55092,Mushroom 6 Packet Sampler,Sampler,governed,high,yes,1.0,240,5.3,5.3,45.3,0.755,45.3,
2026-01-08,2026-01,Maisa 1,,40111,ORG French Roast 25CT Tea Bag - G,Tea,governed,high,yes,3.0,456,3.43,10.29,132.9,2.216,44.3,
2026-01-08,2026-01,Maisa 1,,43310,ORG Dandelion Mocha Mint 10CT Tea Bag - A,Tea,inferred,,yes,3.0,345,6.32,18.96,54.6,0.91,18.2,
2026-01-08,2026-01,Maisa 1,,CleanG,Clean + Gluten Test,Tea,inferred,,,3.0,0,1.29,3.87,,,,
2026-01-08,2026-01,Maisa 2+3,,45020,ORG Chaga Ashwagandha 10 Ct Tea Bag/6 Count Case,Tea,inferred,,yes,5.0,554,6.35,31.75,87.2,1.454,17.4,
2026-01-08,2026-01,Maisa 2+3,,Clean,Standard Clean,Tea,inferred,,,5.0,0,0.51,2.55,,,,
2026-01-08,2026-01,Maisa 2+3,,Clean,Standard Clean,Tea,inferred,,,5.0,0,0.3,1.5,,,,
2026-01-08,2026-01,Maisa 2+3,,NTB3110,Dandelion Dark Roast Tagless 6g Tea Bag,Tea,inferred,,yes,2.0,15804,3.01,6.02,5250.5,87.508,2625.2,
2026-01-08,2026-01,Maisa 2+3,,TB311,ORG Dandelion Dark Roast Tea Bag,Tea,inferred,,yes,2.0,7500,1.46,2.92,5137.0,85.616,2568.5,
2026-01-08,2026-01,Maisa 2+3,,TB502,ORG Chaga Ashwagandha Loose Tea Bag,Tea,inferred,,yes,4.0,8500,2.19,8.76,3881.3,64.688,970.3,
2026-01-08,2026-01,WeighRight,,10051,ORG Roasted Chicory Root - 1 Lb Bag,Bag/Other,inferred,,yes,3.0,468,1.21,3.63,386.8,6.446,128.9,
2026-01-08,2026-01,WeighRight,,10059A,AMZN ORG French Chicory 2 X 1 Lb Bag,Bag/Other,inferred,,yes,3.0,576,2.34,7.02,246.2,4.103,82.1,
2026-01-08,2026-01,WeighRight,,60110,ORG French Roast 5 Lb Bag - G,Bag/Other,inferred,,yes,3.0,80,0.41,1.23,195.1,3.252,65.0,
2026-01-08,2026-01,WeighRight,,80110L,Org French Roast 11oz Bag/Box of 24 - G,Bag/Other,inferred,,yes,3.0,1560,2.4,7.2,650.0,10.833,216.7,
2026-01-08,2026-01,WeighRight,,85030L,ORG Lion's Mane Rhodiola 10 Oz Bag/Box of 24 - G,APG,governed,high,yes,3.0,1192,3.0,9.0,397.3,6.622,132.4,
2026-01-08,2026-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.29,0.87,,,,
2026-01-08,2026-01,WeighRight,,CleanG,Clean + Gluten Test,Bag/Other,inferred,,,3.0,0,1.05,3.15,,,,
2026-01-12,2026-01,AMS,handpack,10101,WWB - ORG Medium Roasted Carob Flour - 1 Lb Bag,Bag/Other,inferred,,yes,3.0,888,11.41,34.23,77.8,1.297,25.9,
2026-01-12,2026-01,AMS,handpack,10101,WWB - ORG Medium Roasted Carob Flour - 1 Lb Bag,Bag/Other,inferred,,yes,3.0,756,12.12,36.36,62.4,1.04,20.8,
2026-01-12,2026-01,Assembly,,40081,ORG Mocha 25CT Tea Bag - GA,Tea,governed,high,yes,1.0,104,3.15,3.15,33.0,0.55,33.0,
2026-01-12,2026-01,Assembly,,40113,ORG French Roast 25CT Tea Bag 3PK - G,Tea,inferred,,yes,1.0,24,2.38,2.38,10.1,0.168,10.1,
2026-01-12,2026-01,Assembly,,40121,DO NOT MAKE ORG Maya Chai 25CT Tea Bag - G,Tea,governed,high,yes,1.0,144,3.57,3.57,40.3,0.672,40.3,
2026-01-12,2026-01,Assembly,,50092,Teeccino Chocolate Flavor Sampler,Sampler,governed,high,yes,2.0,250,4.55,9.1,54.9,0.916,27.5,
2026-01-12,2026-01,Maisa 1,,43310,ORG Dandelion Mocha Mint 10CT Tea Bag - A,Tea,inferred,,yes,3.0,345,5.23,15.69,66.0,1.099,22.0,
2026-01-12,2026-01,Maisa 1,,43311,Dandelion Mocha Mint 25 Count Tea Bag - A,Tea,governed,high,yes,3.0,512,3.19,9.57,160.5,2.675,53.5,
2026-01-12,2026-01,Maisa 1,,43313,DO NOT MAKE ORG Dandelion Mocha Mint 25CT Tea Bag 3PK - A,Tea,inferred,,yes,3.0,60,1.25,3.75,48.0,0.8,16.0,
2026-01-12,2026-01,Maisa 1,,43314,ORG Dandelion Mocha Mint 10CT Tea Bag 4PK - A,Tea,inferred,,yes,3.0,160,1.46,4.38,109.6,1.826,36.5,
2026-01-12,2026-01,Maisa 1,,Clean,Standard Clean,Tea,inferred,,,3.0,0,0.17,0.51,,,,
2026-01-12,2026-01,Maisa 2+3,,46010,ORG Dark Chocolate 10 Ct Tea Bag/6 Count Case,Tea,inferred,,yes,5.0,690,6.13,30.65,112.6,1.876,22.5,
2026-01-12,2026-01,Maisa 2+3,,46010L,ORG Dark Chocolate 10 Ct Tea Bag/36 Count Box,Tea,governed,high,yes,5.0,324,0.22,1.1,1472.7,24.545,294.5,
2026-01-12,2026-01,Maisa 2+3,,46011,ORG Dark Chocolate 25 Ct Tea Bag,Tea,governed,high,yes,5.0,681,2.1,10.5,324.3,5.405,64.9,
2026-01-12,2026-01,Maisa 2+3,,Clean,Standard Clean,Tea,inferred,,,5.0,0,1.0,5.0,,,,
2026-01-12,2026-01,Maisa 2+3,,TB502,ORG Chaga Ashwagandha Loose Tea Bag,Tea,inferred,,yes,4.0,500,0.15,0.6,3333.3,55.556,833.3,
2026-01-12,2026-01,Maisa 2+3,,TB601,ORG Dark Chocolate Loose Tea Bag,Tea,inferred,,yes,4.0,12000,1.58,6.32,7594.9,126.582,1898.7,
2026-01-12,2026-01,WeighRight,,10031,Roasted Chicory Root - 1 Lb Bag,Bag/Other,inferred,,yes,3.0,4164,7.4,22.2,562.7,9.378,187.6,
2026-01-12,2026-01,WeighRight,,10039A,AMZN Roasted French Chicory 2 X 1 Lb Bag,Bag/Other,inferred,,yes,3.0,420,1.45,4.35,289.7,4.828,96.6,
2026-01-12,2026-01,WeighRight,,10051,ORG Roasted Chicory Root - 1 Lb Bag,Bag/Other,inferred,,yes,3.0,972,2.04,6.12,476.5,7.941,158.8,
2026-01-13,2026-01,AMS,handpack,10201,WWB - ORG Peppermint Leaf - 4 Oz Bag,Bag/Other,inferred,,yes,3.0,600,5.2,15.6,115.4,1.923,38.5,
2026-01-13,2026-01,Assembly,,30008,Instant French Roast 100g Bag / 6 Count Case - G,Instant,inferred,,yes,1.0,41,1.1,1.1,37.3,0.621,37.3,
2026-01-13,2026-01,Assembly,,30012,Instant Dandelion Blend 100g Bag / 6 Count Case,Instant,inferred,,yes,1.0,47,1.32,1.32,35.6,0.593,35.6,
2026-01-13,2026-01,Assembly,,40113,ORG French Roast 25CT Tea Bag 3PK - G,Tea,inferred,,yes,1.0,60,6.55,6.55,9.2,0.153,9.2,
2026-01-13,2026-01,Assembly,,GDB502,ORG Chaga Ashwaganda Packet Goody Bag,Bag/Other,inferred,,yes,1.0,50,0.08,0.08,625.0,10.417,625.0,
2026-01-13,2026-01,Assembly,,TGB010,ORG Vanilla Nut Tea Bag Goody Bag - GA,Tea,inferred,,yes,1.0,25,0.04,0.04,625.0,10.417,625.0,
2026-01-13,2026-01,Assembly,,TGB503,Lion's Mane Rhodiola Tea Goody Bag - G,Bag/Other,inferred,,yes,1.0,25,0.04,0.04,625.0,10.417,625.0,
2026-01-13,2026-01,Maisa 1,,43341,Dandelion Coconut 25 Count Tea Bag - A,Tea,governed,high,yes,3.0,624,3.55,10.65,175.8,2.93,58.6,
2026-01-13,2026-01,Maisa 1,,TB334,ORG Dandelion Coconut Tea Bag - A,Tea,inferred,,yes,2.0,16000,7.45,14.9,2147.7,35.794,1073.8,
2026-01-13,2026-01,Maisa 2+3,,40011A,ORG 25 CT Vanilla Nut AMZN - GA,Tea,inferred,,yes,5.0,240,2.12,10.6,113.2,1.887,22.6,
