date,month,machine,ams_mode,item,description,category,category_source,style_confidence,is_production_run,operators,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr,data_flag
2025-01-02,2025-01,Assembly,,40001L,Herbal Tea Sampler Box - Loose,Sampler,governed,high,yes,3.0,349,8.0,24.0,43.6,0.727,14.5,
2025-01-02,2025-01,Assembly,,45001,Mushroom Adaptogen TB Sampler Box - 6 Count Case - G,Sampler,inferred,,yes,1.0,115,12.1,12.1,9.5,0.158,9.5,
2025-01-02,2025-01,Maisa 1,,48004,WWB ORG French Chicory 25ct Tea Bag,Tea,inferred,,yes,3.0,336,2.45,7.35,137.1,2.286,45.7,
2025-01-02,2025-01,Maisa 2+3,,46010,ORG Dark Chocolate 10 Ct Tea Bag/6 Count Case,Tea,inferred,,yes,5.0,180,2.19,10.95,82.2,1.37,16.4,
2025-01-02,2025-01,Maisa 2+3,,46010L,ORG Dark Chocolate 10 Ct Tea Bag/36 Count Box,Tea,governed,high,yes,5.0,720,0.5,2.5,1440.0,24.0,288.0,
2025-01-02,2025-01,Maisa 2+3,,46011,ORG Dark Chocolate 25 Ct Tea Bag,Tea,governed,high,,5.0,0,2.35,11.75,,,,
2025-01-02,2025-01,Maisa 2+3,,46013,ORG Dark Chocolate 25CT Tea Bag 3PK,Tea,inferred,,,5.0,0,0.55,2.75,,,,
2025-01-02,2025-01,Maisa 2+3,,Clean,Standard Clean,Tea,inferred,,,5.0,0,0.4,2.0,,,,
2025-01-02,2025-01,Maisa 2+3,,TB504,ORG Cordyceps Schisandra Loose Tea Bag,Tea,inferred,,,4.0,3483,,,,,,
2025-01-02,2025-01,Maisa 2+3,,TB601,ORG Dark Chocolate Loose Tea Bag,Tea,inferred,,yes,4.0,12000,2.48,9.92,4838.7,80.645,1209.7,
2025-01-02,2025-01,WeighRight,,65050,ORG Turkey Tail Astragalus 5 Lb Bag - G,Bag/Other,inferred,,yes,3.0,20,0.18,0.54,111.1,1.852,37.0,
2025-01-02,2025-01,WeighRight,,66010,ORG Dark Chocolate 5 Lb Bag,Bag/Other,inferred,,yes,3.0,20,0.13,0.39,153.8,2.564,51.3,
2025-01-02,2025-01,WeighRight,,85030L,ORG Lion's Mane Rhodiola 10 Oz Bag/Box of 24 - G,APG,governed,high,yes,3.0,643,2.2,6.6,292.3,4.871,97.4,
2025-01-02,2025-01,WeighRight,,85050,ORG Turkey Tail Astragalus 10 Oz Bag/6 Count Case - G,Bag/Other,inferred,,,3.0,0,4.29,12.87,,,,
2025-01-02,2025-01,WeighRight,,85050L,ORG Turkey Tail Astragalus 10 Oz Bag/Box of 24 - G,Bag/Other,inferred,,,3.0,0,0.43,1.29,,,,
2025-01-02,2025-01,WeighRight,,86010,ORG Dark Chocolate 10 Oz Bag/6 Count Case,Bag/Other,inferred,,yes,3.0,132,2.14,6.42,61.7,1.028,20.6,
2025-01-02,2025-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.3,0.9,,,,
2025-01-02,2025-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.4,1.2,,,,
2025-01-02,2025-01,WeighRight,,CleanGA,Clean + Gluten + Almond Tests,Bag/Other,inferred,,,3.0,0,0.4,1.2,,,,
2025-01-03,2025-01,Assembly,,40001L,Herbal Tea Sampler Box - Loose,Sampler,governed,high,yes,1.0,349,10.2,10.2,34.2,0.57,34.2,
2025-01-03,2025-01,Assembly,,45001L,Mushroom Adapt Tea Bag Sampler Box,Sampler,governed,high,yes,1.0,420,6.3,6.3,66.7,1.111,66.7,
2025-01-03,2025-01,Maisa 2+3,,46010,ORG Dark Chocolate 10 Ct Tea Bag/6 Count Case,Tea,inferred,,yes,5.0,1271,9.4,47.0,135.2,2.254,27.0,
2025-01-03,2025-01,WeighRight,,50080,ORG Mocha 30g Trial Size Packet - GA,Bag/Other,inferred,,yes,3.0,540,1.34,4.02,403.0,6.716,134.3,
2025-01-03,2025-01,WeighRight,,60080,ORG Mocha 5 Lb Bag - GA,Bag/Other,inferred,,yes,3.0,32,0.24,0.72,133.3,2.222,44.4,
2025-01-03,2025-01,WeighRight,,80130L,Org Maca Chocoate 11oz Bag/Box of 24 - G,Bag/Other,inferred,,yes,3.0,624,1.25,3.75,499.2,8.32,166.4,
2025-01-03,2025-01,WeighRight,,80133,ORG MACA Chocolate 11OZ Bag 3PK - G,Bag/Other,inferred,,yes,3.0,160,1.56,4.68,102.6,1.709,34.2,
2025-01-03,2025-01,WeighRight,,83220L,Dandelion Caramel Nut 10 Oz Bag/Box of 24 - A,Bag/Other,inferred,,yes,3.0,816,2.34,7.02,348.7,5.812,116.2,
2025-01-03,2025-01,WeighRight,,86010,ORG Dark Chocolate 10 Oz Bag/6 Count Case,Bag/Other,inferred,,yes,3.0,98,1.52,4.56,64.5,1.075,21.5,
2025-01-03,2025-01,WeighRight,,86010l,ORG Dark Chocolate 10 Oz Bag/Box of 24,Bag/Other,inferred,,yes,3.0,56,0.13,0.39,430.8,7.179,143.6,
2025-01-03,2025-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.44,1.32,,,,
2025-01-03,2025-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.31,0.93,,,,
2025-01-03,2025-01,WeighRight,,CleanG,Clean + Gluten Test,Bag/Other,inferred,,,3.0,0,0.5,1.5,,,,
2025-01-04,2025-01,Assembly,,40001L,Herbal Tea Sampler Box - Loose,Sampler,governed,high,yes,1.0,504,6.3,6.3,80.0,1.333,80.0,
2025-01-04,2025-01,Assembly,,45001L,Mushroom Adapt Tea Bag Sampler Box,Sampler,governed,high,yes,1.0,660,8.3,8.3,79.5,1.325,79.5,
2025-01-04,2025-01,Maisa 2+3,,Clean,Standard Clean,Tea,inferred,,,5.0,0,0.47,2.35,,,,
2025-01-04,2025-01,Maisa 2+3,,TB501,ORG Reishi Eleuthero Loose Tea Bag - G,Tea,inferred,,yes,4.0,16000,3.56,14.24,4494.4,74.906,1123.6,
2025-01-04,2025-01,WeighRight,,20081,ORG Mocha 300G Dual Language Bag - 6Ct Case - GA,Bag/Other,inferred,,yes,3.0,160,2.32,6.96,69.0,1.149,23.0,
2025-01-04,2025-01,WeighRight,,50080,ORG Mocha 30g Trial Size Packet - GA,Bag/Other,inferred,,yes,3.0,360,0.44,1.32,818.2,13.636,272.7,
2025-01-04,2025-01,WeighRight,,80080,ORG Mocha 11OZ Bag/6 Count Case - GA,Bag/Other,inferred,,yes,3.0,230,2.58,7.74,89.1,1.486,29.7,
2025-01-04,2025-01,WeighRight,,80083,ORG Mocha 11OZ Bag 3PK  - GA,Bag/Other,inferred,,yes,3.0,320,2.01,6.03,159.2,2.653,53.1,
2025-01-04,2025-01,WeighRight,,80086,Mocha 500g APG Bag - GA,APG,inferred,,yes,3.0,720,1.57,4.71,458.6,7.643,152.9,
2025-01-06,2025-01,Assembly,,40001,Herbal Tea Sampler Box - 6 Count Case,Sampler,inferred,,yes,1.0,132,8.2,8.2,16.1,0.268,16.1,
2025-01-06,2025-01,Assembly,,45001A,AMZN Mushroom Adapt Tea Bag Sampler Box,Sampler,inferred,,yes,1.0,232,4.16,4.16,55.8,0.929,55.8,
2025-01-06,2025-01,Maisa 1,,43011,ORG Dandelion Vanilla Nut 25CT Tea Bag - A,Tea,governed,high,,3.0,0,1.45,4.35,,,,
2025-01-06,2025-01,Maisa 1,,43110,ORG Dandelion Dark Roast 10ct/6pk Tea Bag,Tea,inferred,,yes,3.0,96,1.3,3.9,73.8,1.231,24.6,
2025-01-06,2025-01,Maisa 1,,43114,ORG Dandelion Dark Roast 10CT Tea Bag 4PK (with DCO/DMM Goody Bag),Tea,inferred,,yes,3.0,128,1.2,3.6,106.7,1.778,35.6,
2025-01-06,2025-01,Maisa 1,,43371,ORG Blueberry Vanilla 25-Ct Tea Bag,Tea,inferred,,,3.0,0,3.27,9.81,,,,
2025-01-06,2025-01,Maisa 1,,43371A,DO NOT MAKE AMZN ORG Blueberry Vanilla 25CT Tea Bag,Tea,inferred,,,3.0,0,1.3,3.9,,,,
2025-01-06,2025-01,Maisa 1,,Clean,Standard Clean,Tea,inferred,,,3.0,0,0.4,1.2,,,,
2025-01-06,2025-01,Maisa 1,,CleanA,Clean + Almond Test,Tea,inferred,,,3.0,0,1.0,3.0,,,,
2025-01-06,2025-01,Maisa 1,,TB301,ORG Dandelion Vanilla Nut Tea Bag - A,Tea,inferred,,,3.0,0,0.15,0.45,,,,
