category,month,runs,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_operator_hr
APG,2026-01,11,6938,14.4,43.1,482.8,160.9
APG,2026-02,8,3574,8.8,26.5,404.8,134.9
APG,2026-03,11,10793,19.8,57.3,544.3,188.5
APG,2026-04,12,5316,11.0,32.8,482.4,162.3
APG,2026-05,5,2114,5.4,16.3,390.0,130.0
APG,2026-06,6,3245,8.2,24.6,395.2,131.7
APG,2026-07,8,3573,9.4,27.4,381.3,130.4
Bag/Other,2026-01,119,63463,294.7,807.9,215.3,78.6
Bag/Other,2026-02,120,61989,294.9,887.2,210.2,69.9
Bag/Other,2026-03,104,63116,264.2,770.5,238.9,81.9
Bag/Other,2026-04,113,64706,251.7,729.0,257.1,88.8
Bag/Other,2026-05,83,41521,165.2,482.2,251.4,86.1
Bag/Other,2026-06,55,24772,107.3,347.2,230.8,71.3
Bag/Other,2026-07,66,31502,145.8,463.4,216.0,68.0
Bundle,2026-01,4,644,12.2,12.2,52.8,52.8
Bundle,2026-02,10,1656,24.2,25.3,68.4,65.4
Bundle,2026-03,2,96,4.0,4.0,24.2,24.2
Bundle,2026-04,3,322,7.9,7.9,40.6,40.6
Bundle,2026-05,6,1543,20.4,20.4,75.5,75.5
Bundle,2026-06,1,20,1.1,1.1,18.2,18.2
Bundle,2026-07,3,288,6.0,6.0,48.1,48.1
Instant,2026-01,37,10527,112.5,251.7,93.6,41.8
Instant,2026-02,16,3620,27.7,86.9,130.7,41.7
Instant,2026-03,27,8263,60.7,234.4,136.0,35.2
Instant,2026-04,8,3230,13.4,53.7,240.5,60.1
Instant,2026-05,2,583,4.0,15.8,147.2,36.8
Instant,2026-06,16,3701,39.1,156.6,94.6,23.6
Instant,2026-07,4,2296,10.5,39.4,217.8,58.2
Sampler,2026-01,19,6894,115.0,271.0,59.9,25.4
Sampler,2026-02,28,5207,188.0,260.4,27.7,20.0
Sampler,2026-03,26,2842,111.1,246.2,25.6,11.5
Sampler,2026-04,23,5020,96.3,151.9,52.1,33.0
Sampler,2026-05,6,2372,46.0,185.3,51.5,12.8
Sampler,2026-06,23,1954,107.8,112.8,18.1,17.3
Sampler,2026-07,8,3322,37.0,69.0,89.9,48.2
Tea,2026-01,91,37287,356.1,1259.1,104.7,29.6
Tea,2026-02,112,50125,363.2,1248.9,138.0,40.1
Tea,2026-03,106,88917,323.2,1111.4,275.1,80.0
Tea,2026-04,103,32871,300.4,884.4,109.4,37.2
Tea,2026-05,55,14411,174.4,419.8,82.6,34.3
Tea,2026-06,50,14067,190.0,537.8,74.0,26.2
Tea,2026-07,35,9140,136.3,365.8,67.1,25.0
Tea bag (intermediate),2026-01,32,432112,101.4,247.9,4260.6,1743.4
Tea bag (intermediate),2026-02,16,178739,46.0,151.4,3883.1,1180.6
Tea bag (intermediate),2026-03,29,359736,76.0,209.0,4735.2,1721.6
Tea bag (intermediate),2026-04,24,270451,56.9,184.8,4750.6,1463.6
Tea bag (intermediate),2026-05,4,61765,10.2,30.8,6079.2,2006.7
Tea bag (intermediate),2026-06,1,12000,1.4,5.8,8275.9,2069.0
Tea bag (intermediate),2026-07,2,18200,4.6,13.3,3939.4,1372.5
