category,month,runs,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_operator_hr
APG,2025-01,12,6810,22.9,68.4,297.8,99.5
APG,2025-02,10,3273,10.0,29.9,328.4,109.5
APG,2025-03,7,1785,6.4,19.3,277.5,92.5
APG,2025-04,10,6706,15.9,47.8,420.4,140.1
APG,2025-05,14,7099,17.1,47.2,416.0,150.2
APG,2025-06,21,10467,35.9,91.1,291.2,115.0
APG,2025-07,16,5493,20.6,52.9,266.9,103.9
APG,2025-08,7,3196,7.8,23.4,410.6,136.9
APG,2025-09,13,6653,17.5,52.5,380.2,126.7
APG,2025-10,10,2867,11.8,34.6,241.9,82.7
APG,2025-11,10,5879,15.1,44.9,388.9,131.0
APG,2025-12,12,6582,18.3,51.5,360.3,127.9
APG,2026-01,11,6938,15.9,47.9,435.0,145.0
APG,2026-02,8,3574,10.1,30.2,355.6,118.5
APG,2026-03,11,10793,21.7,62.8,497.0,172.0
APG,2026-04,13,5909,14.2,42.0,416.6,140.5
APG,2026-05,5,2114,6.4,19.1,332.0,110.7
APG,2026-06,6,3245,9.7,29.0,335.1,111.7
APG,2026-07,11,4515,13.9,40.6,324.0,111.1
APG,2026-08,5,1544,4.8,14.4,320.6,106.9
Accessory,2025-08,2,141,15.4,30.8,9.1,4.6
Accessory,2025-10,4,144,21.3,43.6,6.8,3.3
Accessory,2025-11,4,281,19.9,42.6,14.1,6.6
Bag/Other,2025-01,89,33126,177.0,483.9,187.1,68.5
Bag/Other,2025-02,64,28533,129.4,378.7,220.5,75.3
Bag/Other,2025-03,42,16511,85.3,205.5,193.6,80.4
Bag/Other,2025-04,92,35032,167.9,400.3,208.6,87.5
Bag/Other,2025-05,93,47617,173.2,467.7,275.0,101.8
Bag/Other,2025-06,54,25557,125.8,287.3,203.2,89.0
Bag/Other,2025-07,36,13780,70.3,197.3,196.0,69.8
Bag/Other,2025-08,66,41614,141.1,348.7,294.9,119.3
Bag/Other,2025-09,79,40415,138.2,407.1,292.5,99.3
Bag/Other,2025-10,59,30702,110.5,314.8,277.8,97.5
Bag/Other,2025-11,68,31730,141.7,329.6,223.9,96.3
Bag/Other,2025-12,91,50919,172.3,507.5,295.5,100.3
Bag/Other,2026-01,119,63463,317.9,872.5,199.6,72.7
Bag/Other,2026-02,127,62417,320.2,955.5,194.9,65.3
Bag/Other,2026-03,104,63116,281.0,818.3,224.6,77.1
Bag/Other,2026-04,113,64706,273.5,791.1,236.6,81.8
Bag/Other,2026-05,84,41781,191.9,539.0,217.7,77.5
Bag/Other,2026-06,55,24772,117.5,377.3,210.8,65.7
Bag/Other,2026-07,91,39827,208.4,578.6,191.1,68.8
Bag/Other,2026-08,38,18922,92.6,264.2,204.3,71.6
Bundle,2025-01,2,1224,19.1,29.2,64.2,41.9
Bundle,2025-02,3,180,18.9,18.9,9.5,9.5
Bundle,2025-03,6,3481,28.0,80.0,124.3,43.5
Bundle,2025-04,6,1390,24.9,65.7,55.9,21.1
Bundle,2025-05,5,1128,13.5,32.5,83.5,34.7
Bundle,2025-07,3,1404,6.8,27.0,208.0,52.0
Bundle,2025-11,1,80,1.0,2.0,80.0,40.0
Bundle,2025-12,3,512,7.5,14.9,68.6,34.3
Bundle,2026-01,4,644,13.7,13.7,47.2,47.2
Bundle,2026-02,10,1656,26.4,27.6,62.8,60.1
Bundle,2026-03,2,96,4.6,4.6,20.8,20.8
Bundle,2026-04,3,322,8.6,8.6,37.6,37.6
Bundle,2026-05,6,1543,20.8,20.8,74.4,74.4
Bundle,2026-06,1,20,1.2,1.2,17.1,17.1
Bundle,2026-07,3,288,6.7,6.7,43.3,43.3
Bundle,2026-08,1,6,0.6,0.6,10.0,10.0
Instant,2025-11,1,20,2.3,4.6,8.7,4.3
Instant,2025-12,13,222,6.6,8.0,33.6,27.8
Instant,2026-01,37,10527,118.8,264.1,88.6,39.9
Instant,2026-02,17,3625,30.9,96.2,117.3,37.7
Instant,2026-03,27,8263,65.2,251.4,126.7,32.9
Instant,2026-04,8,3230,15.0,60.2,214.6,53.7
Instant,2026-05,2,583,4.6,18.4,126.7,31.7
Instant,2026-06,16,3701,43.2,172.9,85.6,21.4
Instant,2026-07,5,2416,12.0,43.5,201.1,55.5
Instant,2026-08,8,2437,11.4,44.2,214.1,55.1
Sampler,2025-01,40,8322,274.7,314.3,30.3,26.5
Sampler,2025-02,14,7244,86.4,191.0,83.8,37.9
Sampler,2025-03,30,7768,115.2,392.3,67.4,19.8
Sampler,2025-04,18,3362,85.0,123.0,39.5,27.3
Sampler,2025-05,28,4736,140.2,185.9,33.8,25.5
Sampler,2025-06,19,5122,107.0,167.6,47.9,30.6
Sampler,2025-07,28,5325,83.1,252.3,64.1,21.1
Sampler,2025-08,17,3941,78.6,253.7,50.1,15.5
Sampler,2025-09,6,1692,34.8,69.5,48.7,24.3
Sampler,2025-10,13,3066,36.8,103.5,83.4,29.6
Sampler,2025-11,33,7242,148.5,417.8,48.8,17.3
Sampler,2025-12,29,8934,131.8,347.0,67.8,25.7
