line,month,runs,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr
AMS,2026-01,71,29230,332.2,811.9,88.0,1.467,36.0
AMS,2026-02,51,24669,197.9,616.8,124.6,2.077,40.0
AMS,2026-03,60,26265,181.2,642.8,144.9,2.415,40.9
AMS,2026-04,49,39575,120.2,366.7,329.2,5.486,107.9
AMS,2026-05,23,11912,67.4,231.2,176.8,2.947,51.5
AMS,2026-06,26,8489,70.7,269.0,120.0,2.0,31.6
AMS,2026-07,25,16420,85.3,291.6,192.6,3.21,56.3
AMS,2026-08,14,6173,31.6,116.8,195.6,3.259,52.8
AMS:handpack,2026-01,68,27860,323.1,768.5,86.2,1.437,36.3
AMS:handpack,2026-02,44,18252,167.3,489.1,109.1,1.818,37.3
AMS:handpack,2026-03,9,2664,41.6,84.5,64.0,1.066,31.5
AMS:handpack,2026-04,24,21921,41.8,53.2,523.8,8.73,412.2
AMS:handpack,2026-05,1,4,12.8,12.8,0.3,0.005,0.3
AMS:handpack,2026-06,2,336,7.0,13.9,48.2,0.804,24.1
AMS:handpack,2026-07,12,6307,38.7,105.5,163.0,2.716,59.8
AMS:handpack,2026-08,3,1240,9.4,28.3,131.2,2.187,43.7
AMS:machine(Amy),2026-01,3,1370,9.1,43.4,150.8,2.514,31.6
AMS:machine(Amy),2026-02,7,6417,30.6,127.7,209.5,3.491,50.2
AMS:machine(Amy),2026-03,51,23601,139.6,558.3,169.1,2.818,42.3
AMS:machine(Amy),2026-04,25,17654,78.4,313.5,225.2,3.754,56.3
AMS:machine(Amy),2026-05,22,11908,54.6,218.5,218.0,3.634,54.5
AMS:machine(Amy),2026-06,24,8153,63.8,255.1,127.9,2.131,32.0
AMS:machine(Amy),2026-07,13,10113,46.5,186.2,217.3,3.621,54.3
AMS:machine(Amy),2026-08,11,4933,22.1,88.5,223.0,3.717,55.8
Assembly,2026-01,57,12627,187.5,361.8,67.3,1.122,34.9
Assembly,2026-02,99,16665,353.2,429.7,47.2,0.786,38.8
Assembly,2026-03,72,6568,219.7,373.9,29.9,0.498,17.6
Assembly,2026-04,71,13012,249.0,328.8,52.3,0.871,39.6
Assembly,2026-05,56,10684,161.6,161.6,66.1,1.102,66.1
Assembly,2026-06,50,4443,201.6,206.6,22.0,0.367,21.5
Assembly,2026-07,60,12016,189.8,225.9,63.3,1.055,53.2
Assembly,2026-08,17,2420,82.6,96.1,29.3,0.488,25.2
Maisa 1,2026-01,41,156467,173.2,496.4,903.7,15.061,315.2
Maisa 1,2026-02,46,120714,162.2,486.7,744.1,12.401,248.0
Maisa 1,2026-03,46,195730,178.3,534.9,1097.7,18.294,365.9
Maisa 1,2026-04,29,66153,104.0,312.0,636.0,10.6,212.0
Maisa 1,2026-05,7,5112,28.8,86.4,177.6,2.96,59.2
Maisa 1,2026-06,1,121,3.2,9.6,37.6,0.627,12.5
Maisa 1,2026-07,5,5656,18.0,53.9,314.8,5.247,104.9
Maisa 1,2026-08,6,36510,17.4,44.8,2096.3,34.938,814.3
Maisa 2+3,2026-01,56,357382,224.0,935.8,1595.8,26.597,381.9
Maisa 2+3,2026-02,58,161441,190.7,899.8,846.6,14.111,179.4
Maisa 2+3,2026-03,69,325377,199.4,848.9,1631.5,27.192,383.3
Maisa 2+3,2026-04,51,255409,164.9,746.7,1548.9,25.815,342.1
Maisa 2+3,2026-05,28,87391,118.0,485.8,740.7,12.345,179.9
Maisa 2+3,2026-06,31,39983,111.7,476.8,358.0,5.967,83.9
Maisa 2+3,2026-07,29,52518,134.8,500.3,389.6,6.493,105.0
Maisa 2+3,2026-08,20,37048,71.6,318.7,517.3,8.622,116.2
WeighRight,2026-01,90,54783,151.7,455.0,361.2,6.02,120.4
WeighRight,2026-02,80,43616,162.3,487.0,268.7,4.478,89.6
WeighRight,2026-03,64,55078,160.3,472.6,343.5,5.725,116.5
WeighRight,2026-04,89,52438,170.3,509.3,307.9,5.132,103.0
WeighRight,2026-05,49,29895,104.0,313.8,287.4,4.79,95.3
WeighRight,2026-06,44,23063,95.1,305.7,242.4,4.04,75.4
WeighRight,2026-07,65,27975,109.7,329.0,255.1,4.252,85.0
WeighRight,2026-08,39,19466,76.0,228.0,256.1,4.269,85.4
